Ticker,Type,GapLow,GapHigh,Start,End,FID
AMZN,bullish,208.17999267578125,210.5,2025-06-04,2025-06-06,AMZN|bullish|2025-06-04|2025-06-06|208.179993|210.500000
AMZN,bullish,210.38999938964844,211.1100006103516,2025-06-23,2025-06-25,AMZN|bullish|2025-06-23|2025-06-25|210.389999|211.110001
AMZN,bullish,216.3000030517578,220.82000732421875,2025-08-05,2025-08-07,AMZN|bullish|2025-08-05|2025-08-07|216.300003|220.820007
AMZN,bullish,222.77999877929688,227.3099975585937,2025-08-21,2025-08-25,AMZN|bullish|2025-08-21|2025-08-25|222.779999|227.309998
AMZN,bullish,232.7100067138672,233.75,2025-08-25,2025-09-08,AMZN|bullish|2025-08-25|2025-09-08|232.710007|233.750000
AMZN,bullish,226.1699981689453,230.77999877929688,2025-09-02,2025-09-04,AMZN|bullish|2025-09-02|2025-09-04|226.169998|230.779999
AMZN,bullish,227.1699981689453,231.92999267578125,2025-09-03,2025-09-05,AMZN|bullish|2025-09-03|2025-09-05|227.169998|231.929993
APP,bullish,37.93000030517578,39.91999816894531,2023-12-04,2023-12-18,APP|bullish|2023-12-04|2023-12-18|37.930000|39.919998
APP,bullish,36.75,38.13999938964844,2023-12-12,2023-12-14,APP|bullish|2023-12-12|2023-12-14|36.750000|38.139999
APP,bullish,38.02999877929688,38.720001220703125,2023-12-13,2023-12-15,APP|bullish|2023-12-13|2023-12-15|38.029999|38.720001
APP,bullish,39.40999984741211,39.43000030517578,2024-01-01,2024-01-15,APP|bullish|2024-01-01|2024-01-15|39.410000|39.430000
APP,bullish,39.310001373291016,39.90999984741211,2024-01-09,2024-01-11,APP|bullish|2024-01-09|2024-01-11|39.310001|39.910000
APP,bullish,41.97999954223633,44.0099983215332,2024-02-01,2024-02-05,APP|bullish|2024-02-01|2024-02-05|41.980000|44.009998
APP,bullish,48.77000045776367,54.5,2024-02-05,2024-02-19,APP|bullish|2024-02-05|2024-02-19|48.770000|54.500000
APP,bullish,46.790000915527344,52.75,2024-02-13,2024-02-15,APP|bullish|2024-02-13|2024-02-15|46.790001|52.750000
APP,bullish,47.29999923706055,57.119998931884766,2024-02-14,2024-02-16,APP|bullish|2024-02-14|2024-02-16|47.299999|57.119999
APP,bullish,59.150001525878906,60.02000045776367,2024-02-19,2024-03-04,APP|bullish|2024-02-19|2024-03-04|59.150002|60.020000
APP,bullish,64.30999755859375,66.29000091552734,2024-03-11,2024-03-25,APP|bullish|2024-03-11|2024-03-25|64.309998|66.290001
APP,bullish,61.34999847412109,62.5,2024-03-12,2024-03-14,APP|bullish|2024-03-12|2024-03-14|61.349998|62.500000
APP,bullish,78.1500015258789,84.16999816894531,2024-08-05,2024-08-19,APP|bullish|2024-08-05|2024-08-19|78.150002|84.169998
APP,bullish,78.19000244140625,80.13999938964844,2024-08-12,2024-08-14,APP|bullish|2024-08-12|2024-08-14|78.190002|80.139999
APP,bullish,80.16999816894531,84.19000244140625,2024-08-13,2024-08-15,APP|bullish|2024-08-13|2024-08-15|80.169998|84.190002
APP,bullish,92.80999755859376,110.9000015258789,2024-09-02,2024-09-16,APP|bullish|2024-09-02|2024-09-16|92.809998|110.900002
